Respondent ID,Panel ID,"When was the last time you ordered food for delivery from any service (e.g, Deliveroo, Uber Eats, Just Eat)?",Which of the following food delivery apps have you used in the past 12 months? - Deliveroo,Which of the following food delivery apps have you used in the past 12 months? - Just Eat,Which of the following food delivery apps have you used in the past 12 months? - Uber Eats,Which of the following food delivery apps have you used in the past 12 months? - None of these,"Thinking about food delivery services, what new offers, deals, or initiatives, if any, come to mind? If none come to mind, please write N/A below.","And which company or app were those from? If N/A, please write this below.","Have you seen or heard about something called ""Family Dinneroo"" from Deliveroo?",Where have you seen or heard about it? Please select all that apply. - In the Deliveroo app,Where have you seen or heard about it? Please select all that apply. - In an email or notification from Deliveroo,"Where have you seen or heard about it? Please select all that apply. - Social media (e.g., Instagram, TikTok, Facebook)","Where have you seen or heard about it? Please select all that apply. - Online ads (e.g., banners, search results)",Where have you seen or heard about it? Please select all that apply. - On YouTube or while watching videos online,Where have you seen or heard about it? Please select all that apply. - In a Podcast or while listening to music,Where have you seen or heard about it? Please select all that apply. - TV or radio,"Where have you seen or heard about it? Please select all that apply. - Outdoor ads (billboards, bus stops, etc.)","Where have you seen or heard about it? Please select all that apply. - Friends, family, or word-of-mouth",Where have you seen or heard about it? Please select all that apply. - Don't recall,Where have you seen or heard about it? Please select all that apply. - Other,What message or idea do you most remember about Family Dinneroo?,"In your own words, what do you think “Family Dinneroo” is?","Based on what you’ve seen or heard about it so far, how appealing does Family Dinneroo sound to you?","Based on this, how appealing does Family Dinneroo look to you?","In your own words, what do you think this offer is about?",Do you think Family Dinneroo is…,"Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Price / value for money","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Portion size","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Balanced or healthy options","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Choice of restaurants","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Speed or convenience","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Ability to customise meals","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Family-friendly options (something for everyone)","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Other","What, if anything, would make this more appealing to you?",Which of the following best describes your experience with Family Dinneroo?,"Now that you know what Family Dinneroo is, how likely are you to consider ordering it in the near future?",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think the meals will be nutritious/balanced enough for weekdays,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think we’ll get enough food for the price,"What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - My family have very specific needs (likes, dislikes, dietary needs)",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - We don't eat between 4:30pm and 6:30pm,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Our window for dinner is tight / I don’t want to risk it being late,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t want the food to arrive cold,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I won’t have time to browse and order,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - It will probably be more than £25,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Other,"If Deliveroo had this offering in the app tomorrow, how likely are you to click in and browse available restaurants?",Age,Gender,UK Region MD,U 16 HH
949b665b-51bb-4173-8190-294732a21a99yffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,N/A,McDonalds ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,25 percent off,Fair value,Yes,No,Yes,No,No,No,Yes,No,Happiness ,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
ed39627f-4ce6-4367-a7ed-165cf6170cb8yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,Yes,No,Uber eats ,Uber eats ,"Yes, definitely",No,No,No,Yes,No,No,No,No,No,No,No,Birthday ,None ,Somewhat appealing,Somewhat appealing,Incredible ,Good value,Yes,Yes,No,No,No,No,No,No,Portion ,"I've heard of it, but I'm not interested in trying it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,U 16 In HH
08b6636b-1378-45ae-a8a0-00ab6235b031yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,Maybe / not sure,No,No,Yes,Yes,No,No,No,No,No,No,No,Dinner for£25?,Set price ,Not very appealing,Somewhat appealing,Feeding whole family for £25 or less ,Good value,No,Yes,Yes,Yes,No,No,No,No,Nothing ,"I've heard of it, but I'm not interested in trying it",Somewhat unlikely,No,No,No,Yes,No,No,No,No,No,Might do if convenient,55,Female,Core London,Other HH
af29adcc-8ce3-4abc-9964-7d8f505eced7yffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,N/A,Deliveroo,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Tempting its a good price,Good value,Yes,No,No,No,No,Yes,Yes,No,All of it,,Very likely,,,,,,,,,,Definitely would,45 54,Female,South England Wales,Other HH
e0e66030-5520-4ddb-be62-17903cef63ddyffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,family or get together deals midweek,Fair value,No,No,No,No,Yes,No,Yes,No,"not sure depends on the food, portions and price",,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Female,Greater London,Other HH
5ee93c52-6a6e-49d6-ac0d-b327f4a1404fyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,Maybe / not sure,No,No,Yes,No,No,No,No,No,No,No,No,That it delivers new mid-week family friendly deal,Is a convenient initiative for families to enjoy meals,Very appealing,Very appealing,Fir value for less amount ,Excellent value,Yes,No,Yes,No,Yes,No,No,No,Good packaging ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Male,South England Wales,U 16 In HH
c9ef5937-7eac-4d4c-8546-a6cae8c15b45yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,Yes,No,N/A,N/A,Maybe / not sure,No,Yes,Yes,No,No,No,No,No,Yes,No,No,TOGETHERNRSS,JUST A WAY TO BRING MY FAMILIES TOGETHER TO HAVE OUR DINNER,Very appealing,Very appealing,A PLAYER DINNER BETWEEN ONE FAMILY,Excellent value,No,No,No,No,No,No,Yes,No,TOGETHER AND PLAYER DINNER,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,North England,Other HH
1f519236-1cf2-4591-a612-a816e0cfe3d3yffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,n/a,"uber eats
","No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,good,Good value,Yes,No,No,No,No,No,No,No,feed the family for 25 or less ,,Very likely,,,,,,,,,,Definitely would,25 34,Male,Core London,Other HH
ecf1b762-a56a-4fdf-8d73-9d69761e9d9eyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Loyalty discounts and bundle deals,Deliveroo and Uber Eats ,"Yes, definitely",Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,"Meals can be pre-schedule
It is a family meal deals
Sharable meals for up to four people for 25 pounds or less",It is a family meal deal that makes weekday dinner easier and cheaper.,Very appealing,Very appealing,It is about giving family a good value dinner option from popular restaurant ,Excellent value,Yes,No,Yes,No,No,No,Yes,No,Lower delivery and service fees would make it more appealing ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Scotland,U 16 In HH
159e2afa-657f-482b-a32c-0b1613f3ffe3yffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,Family eating via deliveroo,Not sure,No,No,Yes,No,Yes,No,No,No,Nothing ,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Male,North England,Other HH
6613fd9f-0f4b-49e9-9414-484ed6ceccbcyffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Free delivery when you sign up,Just eat,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Being able to feed a whole family forless,Good value,Yes,No,No,No,No,Yes,Yes,No,Nothing,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
c846b515-e899-4acb-85d6-5e53b35f0ebeyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,"Buy 1 get 1 free, 50% off, free item ","Just eat, Uber eats ","Yes, definitely",Yes,No,No,No,No,No,No,No,No,No,No,Feed your family for £25,A family meal deal ,Not at all appealing,Somewhat appealing,I think the offer is too good to be true and once on the app it will be limited to certain items only ,Not sure,Yes,Yes,No,No,No,No,Yes,No,Maybe make it clearer what restaurants are included or what restrictions ,"I've heard of it, but I'm not interested in trying it",Somewhat unlikely,No,Yes,No,No,No,No,No,Yes,No,Might do if convenient,35 44,Male,Greater London,Other HH
24dade36-8458-4d2f-9c16-ed7d964af725yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,deliveroo,uber,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,a banquet meal for the family,Fair value,Yes,Yes,No,No,No,Yes,No,No,more detail about the food,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,Other HH
a028ea27-caa5-41d3-ab95-53a9ea1c3683yffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,No,No,NA,NA,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,it looks interesting ,Good value,Yes,No,No,No,No,No,Yes,No,more options for food ,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,Other HH
88d8d0e4-1fc7-4552-9475-e131ba0eaf0ayffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Delivery discounts ,Ubereats,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,N/A,Family dinner,Very appealing,Very appealing,Family discount ,Excellent value,No,No,Yes,No,No,Yes,Yes,No,The ambience ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Female,Core London,U 16 In HH
f30129f0-710b-462f-a7c2-b214de3cef32yffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,n/a,n/a,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,family meal deal,Good value,No,No,No,Yes,No,No,No,No,nothing,,Neither likely nor unlikely,,,,,,,,,,Unlikely,55,Female,South England Wales,Other HH
a7cf9ca0-3769-4b66-aa74-61c0ac6db0abyffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,No,No,fast grocesr dekivery,just eat,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,order food for family for less than £25,Good value,No,No,No,Yes,No,No,Yes,No,"fast delivery, wide choices of resturants and food",,Very likely,,,,,,,,,,Definitely would,55,Male,Core London,Other HH
0038297f-d24a-4cd2-8b5b-e846ac880087yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,"Eco friendly solution,  Same day delivery  ","Food hub, UberEats","Yes, definitely",Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,I will say it is mostly for busy parents.,Is a game changer for busy parents to help them prepare meal for family of 2 or 4,Very appealing,Very appealing,"It about family not going starved because of busy parents, Food is made with ease.",Good value,No,No,Yes,No,No,Yes,Yes,No,I will say it more appealing without anything needed to be added.,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,35 44,Male,Core London,U 16 In HH
e4cbcf9b-a9c1-4201-8cf3-6595f827cb41yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,"£10 off for Coop (over £25) - Deliveroo
£7 off selected restaurant - Just Eat",Deliveroo and Just Eat,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,It's a good offer,Good value,Yes,No,No,No,No,No,Yes,No,If the price was less! ,,Somewhat likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
2a78dc52-b094-4169-a115-218fa5f71285yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Deliveroo members ,Deliveroo ,"Yes, definitely",No,No,Yes,No,No,No,No,No,No,No,No,Great for the whole family ,Family size meals,Very appealing,Very appealing,Family meal for a deal,Excellent value,Yes,No,No,No,No,No,No,No,More options,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Male,Greater London,U 16 In HH
2becc212-1086-4293-98c8-75b47368705byffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,Gorecery and expansion ,Tesco ,"Yes, definitely",No,No,No,Yes,Yes,No,Yes,No,No,No,No,"Let us make weeknight family dinner easy, affordable, and stress-free",convenience and shifting market perception.,Very appealing,Very appealing,Grocery shopping with an appealing apprance ,Excellent value,No,No,No,Yes,Yes,No,No,No,Yes definitely ,I’ve already ordered using Family Dinneroo,Very likely,No,Yes,No,No,Yes,Yes,No,No,No,Definitely would,25 34,Male,Core London,U 16 In HH
d6902705-b08b-4333-a273-829d17b9c20ayffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,2 for 1,Uber eats,"Yes, definitely",No,No,No,No,No,No,No,Yes,Yes,No,No,Funny,Fun app,Very appealing,Very appealing,Family deal,Good value,No,Yes,No,No,Yes,No,No,No,Colour,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Might do if convenient,18 24,Female,North England,Other HH
f3bbb871-1d9e-40db-8fcf-dd649857711dyffknfw,4pzacubs3vg,4-12 months ago,Yes,No,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Cheaper for a family meal,Fair value,Yes,No,No,No,Yes,No,No,No,All good,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,U 16 In HH
027dc96c-345c-4a1a-b213-b4c577c2e4feyffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,Yes,No,Na,Na,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Offers,Value package saving offers,Somewhat appealing,Somewhat appealing,Price offer for fakily,Excellent value,Yes,Yes,No,No,No,No,Yes,No,Offers to save money kore,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,North England,Other HH
ce419a7b-52b1-4318-ae39-e20cc6f07723yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Just eat,Tesco,"Yes, definitely",No,No,No,No,Yes,No,No,No,No,No,No,Ease in getting fast food ,Family fast food delivery ,Somewhat appealing,Very appealing,Making everyone happy through good meals ,Excellent value,No,No,Yes,No,No,No,No,No,Healthy meals ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
2d6d8752-1120-49f5-bf8f-3d0d1b048604yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Stamp card and cheeky Tuesdays,Just eat,"Yes, definitely",No,No,Yes,Yes,No,No,No,No,No,No,No,It offers shareable family meal for up to 4 people for £25 excluding delivery fee,Family dinner for four persons at subsidised rate ,Very appealing,Very appealing,"Makes me want to buy , very tempting ",Excellent value,Yes,No,No,No,Yes,No,Yes,No,"It’s already perfect, maybe a further discount in price to £20",I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,South England Wales,U 16 In HH
08dcb4a3-ab96-41d6-9069-adaf0035ea03yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Not sure,N.a,Maybe / not sure,No,No,No,Yes,No,Yes,No,No,No,No,No,Not sure,Not sure,Not very appealing,Somewhat appealing,N.a,Good value,No,Yes,Yes,No,Yes,No,No,No,N.a,"I've heard of it, but I haven't decided if I'll try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,U 16 In HH
f3c15d95-ab6a-44cf-99d9-794bcc2d4dc0yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Deliveroo,Deliveroo,"Yes, definitely",No,Yes,No,No,No,No,No,No,No,No,No,Designed for family with shareable meals for £25 or under,It is a family meals for up to 4 people,Very appealing,Very appealing,Family meals ,Excellent value,No,Yes,No,Yes,No,No,Yes,No,The portion size,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
f1274fe5-040a-4279-a8d2-75ec1ce8e8a0yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,None ,Just eat ,"Yes, definitely",No,No,No,No,No,No,No,Yes,No,No,No,None ,I don't know ,Very appealing,Somewhat appealing,Great ,Good value,No,No,Yes,No,No,No,No,No,Great ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,45 54,Female,Core London,U 16 In HH
c9d2b58d-6603-451b-941e-88a2ad41451ayffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,N/A,"Yes, definitely",No,No,No,No,No,No,Yes,No,No,No,No,It’s a family dinner delivery service ,A rip off,Not at all appealing,Not at all appealing,Family meal being delivered ,Poor value,Yes,No,No,No,Yes,No,No,No,Not interested ,"I've heard of it, but I'm not interested in trying it",Very unlikely,Yes,No,No,Yes,No,No,No,No,No,Definitely would not,18 24,Female,South England Wales,Other HH
62fd28b2-175b-47a7-88a3-9d2c0b807614yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Discount for new customers ,Uber eats ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A fixed price for a family meal ,Fair value,No,No,No,No,Yes,No,Yes,No,If it gave more information ,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Male,North England,Other HH
1607dcb6-cf51-4b8e-b654-6c590cf004adyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,£10 off,Deliverio,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Food for 4 under £25,Poor value,Yes,No,No,No,No,No,No,No,Cheaper price,,Neither likely nor unlikely,,,,,,,,,,Unlikely,35 44,Female,South England Wales,Other HH
0cc14733-4655-432b-923f-dd7638fdb2f1yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,Maybe / not sure,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Not much ,A family special discounted meal ,Somewhat appealing,Somewhat appealing,The little money needed to feed your family ,Good value,Yes,Yes,No,No,No,No,No,No,It's perfect ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,18 24,Female,Core London,U 16 In HH
fe9beff4-a013-4561-9e55-53398dd9a5b9yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,Deliveroo,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,It looks like good value,Good value,Yes,Yes,No,Yes,No,No,No,No,To be available 7 days a week.,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Male,North England,Other HH
c54fe271-af25-4f65-b808-416786b4e446yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,No,No,Yes,No,No,There's a deal for family take aways?,Take out fir the whole family on offer?,Somewhat appealing,Very appealing,Feeding the whole family for £25 or less.,Excellent value,Yes,Yes,No,No,No,No,Yes,No,Nothing - think it's great!,"I've heard of it, but I'm not interested in trying it",Very likely,,,,,,,,,,Definitely would,18 24,Male,South England Wales,Other HH
d7c1dc01-0dca-488e-8fe3-02269b1707b1yffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,Yes,No,Just eat ,Uber ,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Freshly food ,Good value,No,No,Yes,No,No,No,Yes,No,Tests Great choice ,,Very likely,,,,,,,,,,Definitely would,25 34,Male,North England,U 16 In HH
45a1d462-b2a4-49a2-a138-8696b1d5a52fyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,£7 off a deliveroo,Deliveroo,"Yes, definitely",Yes,No,No,No,No,No,Yes,No,No,No,No,Feed family of 4 for £25 or under,Feed family of 4 for £25 or under,Very appealing,Somewhat appealing,Feed family for £25 or less,Good value,Yes,Yes,No,Yes,No,No,No,No,Nothing,"I've heard of it, but I haven't decided if I'll try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,U 16 In HH
c3e1a90a-e8e3-485e-ad42-fb67bcbadbf1yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber,Just eat ,"Yes, definitely",No,No,Yes,No,Yes,No,Yes,No,No,No,No,Good ,Good to see ,Very appealing,Very appealing,Good value ,Excellent value,Yes,No,No,No,No,Yes,No,No,Good to see you ,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Definitely would,35 44,Male,Core London,U 16 In HH
462b8304-9a12-4f3a-86b4-7837c711e33fyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,NA,NA,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,None,Great idea ,Somewhat appealing,Very appealing,It's a very unique way to explore ,Good value,No,Yes,No,No,No,No,Yes,No,Not sure at the moment ,"I've heard of it, but I haven't decided if I'll try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,Scotland,U 16 In HH
5b51eb5a-9e50-4ce7-bd3c-0fb6e4eb8c53yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,Buy  a certain amount  of food and get a drink ,N/A,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Purchase an item and save less,Good value,Yes,Yes,No,No,No,No,Yes,No,N/A,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,Greater London,Other HH
44d3dbc9-752f-4c22-bf23-50dac5c92caayffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,NA,Na,"Yes, definitely",No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Sweet food,Food seller,Very appealing,Very appealing,Very appealing ,Excellent value,Yes,Yes,Yes,No,No,No,No,No,Sweet food ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,South England Wales,U 16 In HH
34ced11c-40c2-45d8-9b4e-1a66b65e6e82yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,"Yes, definitely",No,No,Yes,No,No,No,No,Yes,No,No,No,"The message I most remember about Family Dinneroo is that it offers affordable, family-sized meals for under £25, making mid-week dinners easier and more convenient for busy households.","“Family Dinneroo” seems like a Deliveroo service that offers affordable, ready-to-order family meals, designed to make weekday dinners quicker and easier for households.",Very appealing,Very appealing,"It means Deliveroo provides affordable, convenient family meals, making weekday dinners easier and less stressful for busy households.",Excellent value,Yes,Yes,Yes,No,No,No,No,No,"Offering more meal variety, healthier options, or occasional discounts would make Family Dinneroo even more appealing.",I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,South England Wales,U 16 In HH
b773c5a7-e08e-4317-b3f5-4234b70fe85cyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,None,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not at all appealing,A deal to feed a family under 25 quid.,Poor value,Yes,No,No,No,Yes,No,Yes,No,Less people and cheaper price.,,Very unlikely,No,No,No,No,No,Yes,No,No,No,Definitely would not,55,Male,North England,Other HH
de706ff7-1b1a-4984-a27e-638361cabf2ayffknfw,4pzacubs3vg,4-12 months ago,No,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Sounds like a good offer especially for those on a budget,Good value,Yes,Yes,No,No,No,No,No,No,Know what you get for that value. ,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,U 16 In HH
912a2f37-2c15-4ed4-8503-122c993dedfcyffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,NA,NA,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,I don't remember ,A discounted set family meal deal,Somewhat appealing,Somewhat appealing,A family meal deal,Good value,Yes,Yes,No,No,Yes,No,No,No,Nothing it sounds appealing ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,South England Wales,U 16 In HH
e2721606-2154-4fbf-b147-794aa8ffcd41yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/a,N/a,"Yes, definitely",No,No,Yes,No,No,No,No,No,No,No,No,I think Giovanna Fletcher was in the advert ,A big meal takeaway that's enough for the whole family,Somewhat appealing,Somewhat appealing,Ordering a takeaway that costs less than 25 for your whole family ,Fair value,Yes,No,No,Yes,No,No,Yes,No,A cheaper price,"I've heard of it, but I'm not interested in trying it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
59d42d28-2492-4af7-91dd-b72257e54111yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,They are offering personalised discount ,Deliveroo and uber eats ,"Yes, definitely",No,No,No,Yes,No,No,Yes,No,No,No,No,"They promote easy, affordable weekday meals for families ",Food company ,Very appealing,Very appealing,Food,Excellent value,No,Yes,No,No,Yes,Yes,No,No,The design ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
78698611-cb58-41c9-a46f-665d3a1bac69yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,in app technology to track drivers location,uber eats,"Yes, definitely",Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,A bundle that caters for the need of family ,"it’s a family friendly meal service,that help family plan,share recipes and coordinate who’s cooking ",Very appealing,Very appealing,it’s a family special bonus that runs from monday -Thursday and with this a whole family can be catered for for a very affordable price ,Excellent value,Yes,No,Yes,No,No,No,Yes,No,They should clearly state the terms and conditions that may apply,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Female,Core London,U 16 In HH
87082dba-522c-4ac9-a7b1-08deafc2e307yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Bundle meal deal,Mc donald,"Yes, definitely",No,No,No,Yes,Yes,No,No,No,Yes,No,No,the fast delivery,A community or event brand,Very appealing,Very appealing,nice,Excellent value,No,No,Yes,No,No,Yes,Yes,No,the happiness,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,35 44,Male,North England,U 16 In HH
83799339-a16f-43d6-ab70-2f7bf714eed4yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Reduced or discounted delivery fees,Just eat,"Yes, definitely",No,No,No,No,Yes,Yes,Yes,No,No,No,No,Family style dinner packages ,Family sized meal options for 4 people ,Somewhat appealing,Somewhat appealing,4 meals for £25,Good value,No,Yes,No,Yes,Yes,No,No,No,A similar off for couples or two people ,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,South England Wales,Other HH
9946e0a6-0c9e-4be8-8536-25d3bbcfdc7eyffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,It seems like a good family deal but I would have to try it first to see if tghere were any drawbacks.,Not sure,Yes,Yes,No,No,No,No,Yes,No,A weekend deal.,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,Other HH
3c01fed5-9bd8-4627-920b-a3dfcfd6fad5yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,"N/A
",N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,a family meal deal,Fair value,Yes,No,No,Yes,No,Yes,No,No,im not a family so nothing,,Very unlikely,No,No,No,No,No,No,No,No,am not a family,Definitely would not,55,Male,Greater London,Other HH
